date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:55:09	163873/163873	---M-Z	200	added ('OK')	text/css	etag:%226161dfe3-5ccc%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap/5.1.3/css/bootstrap.min.css	C:/My%20Web%20Sites/priceshares2/cdnjs.cloudflare.com/ajax/libs/bootstrap/5.1.3/css/bootstrap.min.css	(from https://price-shares.online/password.html)
03:55:10	1995/1995	---M--	200	added ('OK')	image/png	etag:%22cb7cdfbfb4cb39e7faaa287f69f4d453-ssl%22	https://price-shares.online/images/download%20(2).png	C:/My%20Web%20Sites/priceshares2/price-shares.online/images/download%20(2).png	(from https://price-shares.online/password.html)
03:55:10	26371/26371	---M--	200	added ('OK')	image/png	etag:%22bf34c71479b45957653bce0fae216e73-ssl%22	https://price-shares.online/images/popper-removebg-preview.png	C:/My%20Web%20Sites/priceshares2/price-shares.online/images/popper-removebg-preview.png	(from https://price-shares.online/password.html)
03:55:16	4423/4423	---M--	200	added ('OK')	image/png	etag:%229afc7fe5711ed094f38abb866ae7c053-ssl%22	https://price-shares.online/images/download%20(3).png	C:/My%20Web%20Sites/priceshares2/price-shares.online/images/download%20(3).png	(from https://price-shares.online/password.html)
03:55:16	421/421	---M--	200	added ('OK')	application/javascript	etag:%2240b83feb048fad77058b6788620c038e-ssl%22	https://price-shares.online/script.js	C:/My%20Web%20Sites/priceshares2/price-shares.online/script.js	(from https://price-shares.online/password.html)
03:55:21	89336/89336	---M-Z	200	added ('OK')	application/javascript	etag:%22811b515713ae7e28a8470dea8ef294c5-ssl-df%22	https://price-shares.online/build/js/intlTelInput.js	C:/My%20Web%20Sites/priceshares2/price-shares.online/build/js/intlTelInput.js	(from https://price-shares.online/password.html)
03:55:23	70857/70857	---M--	200	added ('OK')	image/png	etag:%22b5bfc632fdac16ef390432f831f105e8-ssl%22	https://price-shares.online/build/img/flags.png	C:/My%20Web%20Sites/priceshares2/price-shares.online/build/img/flags.png	(from https://price-shares.online/build/css/intlTelInput.css)
03:57:25	106812/106812	---M--	200	added ('OK')	font/woff	etag:W/%221a13c-GxDOCA4lYqi36DlQRNPKg9wRKZk%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/fonts/bootstrap-icons.woff?4601c71fb26c9277391ec80789bfde9c	C:/My%20Web%20Sites/priceshares2/cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/fonts/bootstrap-icons289b.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/bootstrap-icons.css)
03:57:26	80504/80504	---M--	200	added ('OK')	font/woff2	etag:W/%2213a78-LeNORn2wta85aJwpaQsm7EA3IQI%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/fonts/bootstrap-icons.woff2?4601c71fb26c9277391ec80789bfde9c	C:/My%20Web%20Sites/priceshares2/cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/fonts/bootstrap-icons289b.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/bootstrap-icons.css)
03:57:26	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/bootstrap-icons.css)
03:57:27	174369/174369	---M--	200	added ('OK')	image/png	etag:%2231f4efceb12164b81fb9a8e59765b7d4-ssl%22	https://price-shares.online/build/img/flags@2x.png	C:/My%20Web%20Sites/priceshares2/price-shares.online/build/img/flags@2x.png	(from https://price-shares.online/build/css/intlTelInput.css)
